14;9;13;13;8
9;14;9;8;9
9;10;9;9;8
8;8;10;8;13
9;9;8;9;9
13;9;9;8;8
9;9;9;10;9
9;10;9;12;14
9;10;8;15;9
8;10;13;10;12
9;13;13;9;9
9;14;10;10;10
13;14;13;8;9
9;14;9;14;12
9;9;14;10;9
8;8;10;10;10
14;8;9;8;13
10;13;14;8;13
13;8;8;13;10
13;8;13;13;9
13;9;8;9;10
14;9;9;8;9
8;15;13;9;9
10;9;9;10;10
14;14;9;14;10
9;10;15;8;13
13;13;9;9;10
9;10;10;8;10
9;9;9;14;8
8;8;8;8;13
10;8;10;9;8
8;13;8;9;9
15;8;10;13;8
14;8;14;9;13
13;10;8;9;13
8;10;9;8;10
10;10;9;8;14
13;15;10;13;15
9;9;8;10;10
9;10;9;13;14
9;10;14;9;13
9;9;12;10;9
10;13;9;9;9
9;12;9;15;9
8;9;9;12;9
14;9;10;9;8
10;8;9;8;10
12;10;9;8;10
12;8;9;9;14
8;9;10;10;9
14;13;10;9;15
15;10;13;8;10
8;9;10;9;10
10;10;10;13;10
10;10;9;8;8
15;8;9;9;8
10;9;8;9;9
10;9;10;15;8
14;9;9;8;10
12;8;10;14;9
9;8;10;9;9
8;10;8;9;10
8;9;9;13;8
13;10;14;9;8
13;14;9;13;9
13;9;13;8;9
9;9;8;9;10
13;13;10;10;8
9;14;13;10;14
14;9;9;13;10
9;12;14;14;9
9;14;8;10;12
14;9;9;9;10
9;9;8;14;13
13;14;10;9;9
8;10;9;9;10
8;8;9;8;14
9;10;13;8;9
14;13;14;10;9
9;10;9;10;10
8;8;13;10;9
10;15;9;9;10
9;12;9;14;13
10;9;8;9;9
8;9;14;8;10
9;13;10;10;9
9;9;10;9;10
9;8;13;10;14
13;10;14;10;9
8;13;10;10;8
13;8;8;10;9
10;9;15;10;14
13;9;9;10;13
9;10;9;9;9
9;13;8;15;9
15;12;9;13;8
8;9;8;10;13
8;15;10;13;8
10;8;8;9;8
10;9;9;14;9
