15;13;14;14;13
11;13;13;12;14
13;14;14;14;13
13;12;13;12;12
14;13;12;11;13
13;10;12;14;13
12;12;13;13;14
12;13;13;14;13
13;13;12;13;13
12;13;13;13;12
14;13;12;12;13
12;13;12;14;13
13;12;13;13;12
13;14;12;13;12
12;12;12;13;12
13;13;12;12;12
14;11;11;13;12
13;13;12;14;14
11;13;12;13;11
13;13;12;13;12
12;13;13;11;13
12;13;14;15;11
12;14;14;12;14
13;13;14;13;13
14;13;10;14;13
13;13;11;12;14
14;13;11;11;14
13;11;11;12;14
12;14;13;12;11
14;13;13;14;12
11;14;13;13;14
12;12;13;15;13
12;12;13;11;12
14;13;13;14;12
12;11;12;12;11
12;12;15;12;12
14;12;12;14;12
12;13;12;13;13
13;12;13;12;11
13;13;14;13;12
12;15;12;12;12
15;12;14;12;12
13;13;12;13;14
14;11;14;11;13
12;12;15;11;13
11;13;14;14;12
12;11;12;13;13
13;14;12;12;13
13;14;11;12;14
11;11;13;14;13
12;15;13;14;14
12;15;12;14;12
12;13;14;12;13
14;13;13;13;13
12;11;12;11;12
13;12;12;13;14
13;14;13;13;13
14;13;13;13;13
13;10;12;13;13
12;14;14;12;13
13;12;13;14;14
12;12;12;12;14
10;12;14;15;13
13;12;11;14;12
13;13;14;12;12
13;14;12;13;14
13;13;13;13;13
12;13;12;12;13
15;12;12;13;14
11;13;12;14;13
13;13;12;12;12
13;13;12;14;13
11;13;15;12;13
13;11;12;12;13
12;13;15;12;13
13;14;12;14;12
13;13;13;12;12
12;12;14;12;13
13;14;11;11;13
13;13;13;11;12
12;12;14;12;14
13;10;14;13;14
13;13;12;12;10
12;12;13;11;13
12;13;12;10;13
14;13;14;14;13
13;12;13;11;13
13;11;14;14;12
13;13;11;14;14
13;12;12;12;12
12;13;10;14;12
13;13;13;10;13
14;12;11;12;16
14;14;13;12;12
11;12;13;11;12
12;13;13;13;14
12;13;13;13;14
14;12;11;12;13
14;11;13;12;13
12;12;11;13;13
