12;12;11;12;10
11;12;12;12;12
12;12;12;12;12
9;9;9;8;8
12;12;12;12;11
9;7;8;9;9
10;11;12;12;11
12;12;11;12;11
12;8;9;9;7
9;9;9;9;8
8;8;8;7;8
12;11;12;12;12
11;11;11;11;11
11;12;11;12;11
8;9;9;8;8
9;8;9;8;9
9;8;9;8;9
8;9;8;9;9
8;9;9;7;9
12;12;12;12;12
9;9;8;9;8
12;11;11;12;12
8;9;8;9;8
8;9;8;7;8
9;8;8;9;8
11;12;12;11;12
9;8;8;8;8
9;9;9;9;9
12;10;10;12;12
9;8;7;8;9
9;7;9;9;8
12;8;8;9;9
9;9;9;9;9
8;9;8;9;9
12;11;12;11;11
11;11;12;11;12
12;12;11;12;12
9;9;9;9;9
9;9;9;9;9
12;12;12;11;11
12;10;12;12;12
12;12;12;12;12
9;9;7;9;9
9;9;9;12;9
9;8;8;8;8
9;8;9;9;9
12;10;12;11;12
12;12;10;12;12
12;12;8;12;12
10;11;12;12;12
7;12;12;12;9
12;12;12;11;10
9;8;9;9;8
8;8;8;9;9
12;12;11;12;12
12;12;12;11;12
8;9;9;8;9
8;9;9;9;9
12;12;12;11;10
11;12;12;12;11
8;9;8;9;9
12;12;12;11;10
9;7;9;8;9
11;12;12;12;12
8;12;9;8;9
12;10;12;12;12
9;9;9;9;7
9;7;9;8;9
9;8;9;9;9
11;12;11;12;11
8;9;7;9;9
12;12;12;11;11
12;11;12;11;11
7;7;8;8;9
8;9;8;8;9
12;11;11;12;11
9;9;9;9;9
8;9;9;8;9
9;9;9;9;9
11;12;12;12;12
11;11;12;12;12
12;12;12;12;11
11;12;12;12;11
11;12;11;11;12
12;12;12;12;12
9;9;7;9;8
8;9;9;9;9
11;10;12;11;12
12;11;12;12;12
10;10;12;12;11
11;10;11;11;12
12;12;12;12;12
12;11;12;11;8
11;11;12;11;12
9;11;8;9;8
9;9;9;8;8
11;11;12;12;12
12;12;11;12;12
11;12;11;12;12
8;7;8;7;9
